OfferID,MerchantID
31580,359
31581,359
31582,359
31583,359
31584,359
31585,359
31586,359
31587,359
31588,359
31589,359
31590,359
31591,359
31592,359
31593,359
31594,359
31595,359
31596,359
31597,359
31598,359
31599,359
31751,359
31752,359
31753,359
31754,359
31755,359
31756,359
31757,359
31758,359
31759,359
31760,359
31761,359
31762,359
31763,359
31764,359
31826,359
31918,359
31919,359
31920,359
31921,359
31922,359
31923,359
31924,359
31925,359
31926,359
31927,359
31928,359
31929,359
31930,359
31931,359
31932,359
32072,359
32073,359
32074,359
32075,359
32076,359
32077,359
32078,359
32079,359
32080,359
32081,359
32082,359
32083,359
32084,359
32085,359
32086,359
32087,359
32088,359
32089,359
32090,359
32091,359
32092,359
32093,359
32203,359
32204,359
32205,359
32206,359
32207,359
32208,359
32209,359
32210,359
32211,359
32212,359
32213,359
32214,359
32215,359
32216,359
32217,359
32218,359
32219,359
32220,359
32221,359
32222,359
32223,359
32224,359
32225,359
32226,359
32227,359
32228,359
32364,359
32365,359
32405,359
32406,359
32407,359
32408,359
32409,359
32410,359
32411,359
32412,359
32413,359
32414,359
32415,359
32416,359
32417,359
32418,359
32419,359
32420,359
32421,359
32422,359
32423,359
32424,359
32425,359
32426,359
32427,359
32549,359
32550,359
32551,359
32552,359
32553,359
32554,359
32604,359
32605,359
32606,359
32607,359
32608,359
32609,359
32610,359
32611,359
32612,359
32613,359
32614,359
32615,359
32616,359
32617,359
32618,359
32619,359
32620,359
32621,359
32622,359
32623,359
32624,359
32716,359
32717,359
32718,359
32719,359
32720,359
32721,359
32722,359
32723,359
32724,359
32725,359
32726,359
32727,359
32792,359
32793,359
32794,359
32795,359
32796,359
32797,359
32863,359
32864,359
32865,359
32866,359
32867,359
32868,359
32869,359
32870,359
32871,359
32872,359
32873,359
32874,359
32875,359
32876,359
33026,359
33027,359
33028,359
33029,359
33030,359
33031,359
33032,359
33033,359
33034,359
33035,359
33036,359
33037,359
33110,359
33111,359
33112,359
33113,359
33114,359
33115,359
33116,359
33117,359
33118,359
33119,359
33120,359
33121,359
33122,359
33123,359
33124,359
33125,359
33126,359
33127,359
33128,359
33129,359
33261,359
33262,359
33263,359
33264,359
33265,359
33266,359
33267,359
33268,359
33269,359
33270,359
33271,359
33272,359
33273,359
33274,359
33275,359
33345,359
33346,359
33347,359
33348,359
33349,359
33350,359
33351,359
33352,359
33353,359
33354,359
