"","ShopID","ShopName","Address","Landmark","Area","City","Pincode","Latitude","Longitude","State","StartTime","EndTime","OpenMonday","OpenTuesday","OpenWednesday","OpenThursday","OpenFriday","OpenSaturday","OpenSunday","MerchantID.x","ShopAddDate","OfferID","LMDID","OfferTitle","OfferDesc","TnC1","TnC2","TnC3","TnC4","TnC5","GeneralOfferTnC","Online_Offline","OfferImgUrl1","OfferImgUrl2","OfferImgUrl3","OfferImpactIndex","OfferStartDate","OfferEndDate","CouponType","OfferType","OfferActiveFlag","OfferAddDate","CategoriesCSV","Bank","CategoryID","CategoryName","ParentID","MerchantID.y","Merchant_name","Merchant_Alexa_rank","Merchant_type","PaymentID","BankID","PaymentMode"
"1676",5151,"Jet Set - Banglore","No.66, Infantry Road, Bangalore","","Sampangi Rama Nagar","Bengaluru","",12.980724,77.604738,"Karnataka","","",1,1,1,1,1,1,1,4151,"01-02-2016",28051,"","Save 20% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","28-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4151,"Jet Set - Banglore","0","Offline",2551,21,""
"1677",5152,"Jet Set- Bangalore","66, Infantry Road, Bangalore","","Sampangi Rama Nagar","Bengaluru","",12.980724,77.604738,"Karnataka","","",1,1,1,1,1,1,1,4152,"01-02-2016",28052,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","05-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4152,"Jet Set- Bangalore","0","Offline",2552,21,""
"1678",5153,"Joy Luck Moon - Delhi","S-10, 2nd Floor, Select City Walk, District Centre, Saket, New Delhi","","Pushp Vihar","New Delhi","",28.5284472,77.2192289,"New Delhi","","",1,1,1,1,1,1,1,4153,"01-02-2016",28053,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","05-05-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4153,"Joy Luck Moon - Delhi","0","Offline",2553,21,""
"1679",5154,"Kabooze- New Delhi","M 4, Greater Kailash 2, Market, New Delhi","","Sector 36","Faridabad","",28.4728238,77.3129271,"Haryana","","",1,1,1,1,1,1,1,4154,"01-02-2016",28054,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","03-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4154,"Kabooze- New Delhi","0","Offline",2554,21,""
"1680",5155,"Kaffiiaa- New Delhi","J -14, Sector 18, Noida","","Sector 18","Noida","",28.568639,77.324163,"Uttar Pradesh","","",1,1,1,1,1,1,1,4155,"01-02-2016",28055,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","30-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4155,"Kaffiiaa- New Delhi","0","Offline",2555,21,""
"1681",5156,"Kash- New Delhi","Shoppers Shop, 4th Floor, Rajouri Garden, New Delhi","","Rajouri Garden","New Delhi","",28.6415294,77.1209145,"New Delhi","","",1,1,1,1,1,1,1,4156,"01-02-2016",28056,"","Save 15% on the total bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","03-08-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4156,"Kash- New Delhi","0","Offline",2556,21,""
"1682",5157,"Kathputli - Delhi","35, Defence Colony Market, New Delhi","","Moti Bagh","New Delhi","",28.5838813,77.1781973,"New Delhi","","",1,1,1,1,1,1,1,4157,"01-02-2016",28057,"","Save 15% on Food and Soft Beverages","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","31-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4157,"Kathputli - Delhi","0","Offline",2557,21,""
"1683",5158,"Keys Cafe - Keys Hotel","CTS 182, Gautam Road, Satara, Mahabaleshwar, Maharashtra, 412806","","","Mahabaleshwar","",17.9236769,73.6693122,"Maharashtra","","",1,1,1,1,1,1,1,4158,"01-02-2016",28058,"","Save 15% on Food and Soft Beverages","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","30-06-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4158,"Keys Cafe - Keys Hotel","0","Offline",2558,21,""
"1684",5159,"Keys Cafe-Nestor - Keys Hotel","Keys Hotel Nestor, Near Old Borosil Factory, Makhwana Road, Off Military Road, Marol, Andheri East, Mumbai","","Andheri East","Mumbai","",19.1182347,72.8852489,"Maharashtra","","",1,1,1,1,1,1,1,4159,"01-02-2016",28059,"","Save 15% on Food and Soft Beverages","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","30-06-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4159,"Keys Cafe-Nestor - Keys Hotel","0","Offline",2559,21,""
"1685",5160,"Khandwa Restaurant - Hotel Mumal Palace - Jaipur","Sikar Road, Amba Badi, Jaipur","","Vidhyadhar Nagar","Jaipur","",26.9446998,75.7734706,"Rajasthan","","",1,1,1,1,1,1,1,4160,"01-02-2016",28060,"","Save 15% on Food Bill","","This offer is sourced from public domain with very high probability of acceptance. But we still insist you to please call the merchant directly to verify the validity of offer","This offer may not be clubbed with any other ongoing offers.","Please check the American Express website for detailed T&C","Kindly let the hotel staff know that you will be using this offer before placing your order",NA,"","Offline","",NA,NA,"NULL","07-07-2015","31-07-2016","Deal","Discount","Y","01-02-2016","","",50000,"Food and Beverages",0,4160,"Khandwa Restaurant - Hotel Mumal Palace - Jaipur","0","Offline",2560,21,""
