"","CustomerID","OfferID","value","interest","CategoryID","CategoryName","CategoriesCSV"
"44",11,14410,"6","NO",120000,"Online Recharge",NA
"45",11,14410,"6","NO",120100,"Mobile Recharge",NA
"46",11,14410,"6","NO",120200,"Data Card Recharge",NA
"47",11,14413,"8","NO",120000,"Online Recharge","Online Recharge,Data Card Recharge"
"48",11,14413,"8","NO",120200,"Data Card Recharge","Online Recharge,Data Card Recharge"
"49",11,14414,"4","YES",120000,"Online Recharge","Online Recharge,Data Card Recharge"
"50",11,14414,"4","YES",120200,"Data Card Recharge","Online Recharge,Data Card Recharge"
"51",11,14523,"4","NO",50000,"Food and Beverages",NA
"52",11,14523,"4","NO",50200,"Restaurants",NA
"53",11,15033,"4","NO",50000,"Food and Beverages","NULL"
"54",11,15033,"4","NO",50100,"Fast Food","NULL"
"55",13,15224,"4","NO",60000,"Entertainment","Entertainment,Movies"
"56",13,15224,"4","NO",60800,"Movies","Entertainment,Movies"
"57",13,15225,"2","NO",60000,"Entertainment",NA
"58",13,15225,"2","NO",60200,"Events",NA
"59",13,15225,"2","NO",60800,"Movies",NA
"60",13,15283,"4","YES",10000,"Fashion",NA
"61",13,15283,"4","YES",10100,"Mens Apparels",NA
"62",13,15283,"4","YES",10200,"Womens Apparels",NA
"63",13,15283,"4","YES",10300,"Watches",NA
"64",13,15283,"4","YES",10400,"Ethnic Wear",NA
"65",13,15283,"4","YES",10500,"Lingerie",NA
"66",13,15283,"4","YES",10600,"Eyewear",NA
"67",13,15283,"4","YES",10700,"Footwear",NA
"68",13,15283,"4","YES",10800,"Handbags and Wallets",NA
"69",13,15283,"4","YES",10900,"Jewellery",NA
"70",13,15283,"4","YES",11000,"Fashion Accessories",NA
"71",13,15283,"4","YES",20000,"Training and Materials",NA
"72",13,15283,"4","YES",30000,"Car and Bike Accessories",NA
"73",13,15283,"4","YES",40000,"Electronics and Gadgets",NA
"74",13,15283,"4","YES",40100,"Cameras",NA
"75",13,15283,"4","YES",40200,"Gaming Consoles",NA
"76",13,15283,"4","YES",40300,"Computers and Laptops",NA
"77",13,15283,"4","YES",40400,"Computer Accessories",NA
"78",13,15283,"4","YES",40500,"Mobiles and Tablets",NA
"79",13,15283,"4","YES",40600,"Mobile Accessories",NA
"80",13,15283,"4","YES",40700,"Personal Care Appliances",NA
"81",13,15283,"4","YES",40800,"Home Appliances",NA
