ShopID,ShopName,Address,Landmark,Area,City,Pincode,Latitude,Longitude,State,StartTime,EndTime,OpenMonday,OpenTuesday,OpenWednesday,OpenThursday,OpenFriday,OpenSaturday,OpenSunday,MerchantID,ShopAddDate
2742,Astrix,"Jewel of Chembur, 1st Road, Near Natraj Cinema, Chembur East",,Chembur,Mumbai,,19.0439862,72.9102511,Maharashtra,06:00 PM to 12:00 AM,,1,1,1,1,1,1,1,2642,06-01-2015
2743,The Peking Tom,"Behind Movie Time, New Link Road, Malad West",,Malad West,Mumbai,,19.1978395,72.8276898,Maharashtra,"120:00 pm - 3:30 PM, 7:00 PM - 12:30 AM",,1,1,1,1,1,1,1,2643,06-01-2015
2744,Pop Tates  Versova,"7/8 Shiv Shopping Centre, 5 1/2 Bungalows, J P Road, 7 Bungalows, Versova",,Andheri West,Mumbai,,19.1350852,72.8146101,Maharashtra,12:00 PM - 12:30 AM,,1,1,1,1,1,1,1,2644,06-01-2015
2745,Andys Pizzeria and Diner,"Jagdamba Complex, Movie Time Premises, Malad West",,Malad West,Mumbai,,19.1827551,72.8401539,Maharashtra,12:00 PM  1:00 AM,,1,1,1,1,1,1,1,2645,06-01-2015
2746,"Rainforest Resto-Bar, CBD Belapur","16-23, Kukreja Centre, Sector 11, NMMC Building, CBD-Belapur East ",,CBD Belapur,Navi Mumbai,,19.0300657,73.0351138,Maharashtra,12 Noon to 12 Midnight,,1,1,1,1,1,1,1,2646,06-01-2015
2747,Urban Tadka  7 Bunglows,"Shiv Shopping Center, Juhu Versova Link Road, 7 Bungalows",,Andheri West,Mumbai,,19.1285091,72.8274564,Maharashtra,"12 Noon to 3:30 PM, 7 PM to 12:15 AM",,1,1,1,1,1,1,1,2647,06-01-2015
2748,Gadda Da Vida  Novotel,"Novotel, Juhu Beach, Balraj Sahani Marg, Juhu",,Juhu,Mumbai,,19.098821,72.8320717,Maharashtra,4:00 PM- 2:00 AM,,1,1,1,1,1,1,1,2648,06-01-2015
2749,The Blue Frog,"Mathuradas Mills Compound, Kamala Mills Compound, Lower Parel",,Lower Parel,Mumbai,,18.9927476,72.8310679,Maharashtra,"Tue - Sat: 6:30 PM - 1:30 AM,Sun: 11:00 AM - 4:00 PM, 6:30 PM - 1:30 AM",,1,1,1,1,1,1,1,2649,06-01-2015
2750,Cerveza,"First Floor, Silk Route, Fort",,Fort,Mumbai,,18.9352599,72.8371511,Maharashtra,3:00 PM - 1:00 AM,,1,1,1,1,1,1,1,2650,06-01-2015
2751,Pop Tates  Mulund (West),"3rd Floor, R Mall, LBS Marg, Mulund West",,Ghatkopar West,Mumbai,,19.0996921,72.9163115,Maharashtra,12:00 PM - 12:30 AM,,1,1,1,1,1,1,1,2651,06-01-2015
