OfferID,LMDID,OfferTitle,OfferDesc,TnC1,TnC2,TnC3,TnC4,TnC5,GeneralOfferTnC,Online_Offline,OfferImgUrl1,OfferImgUrl2,OfferImgUrl3,OfferImpactIndex,OfferStartDate,OfferEndDate,CouponType,OfferType,OfferActiveFlag,OfferAddDate,CategoriesCSV,Bank
34716,105214,Great Price Offer on Shoppersstop Gift Cards,,,,,,,,Online,,,,1,01-04-2016,14-04-2016,Deal,Offer,Y,01-04-2016,Gift Items,
34723,105156,Rs.100 Cashback + Extra Rs.75 Cashback when you pay via Freecharge Wallet,,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Food and Beverages,Fast Food",
34724,105157,Rs.100 Cashback on Your First Order,,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Food and Beverages,Fast Food",
34725,105160,Grab 5% Discount on Online Bus Ticket Booking,,,,,,,,Online,,,,2,01-04-2016,01-05-2016,Deal,Discount,Y,01-04-2016,"Travel,Bus Bookings",
34726,105159,Up To Rs.250 discount on Return Trip Booking,,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Travel,Bus Bookings",
34727,105158,Rs.75 Discount on Your First Booking,,,,,,,,Online,,,,3,01-04-2016,01-05-2016,Code,Coupon,Y,01-04-2016,"Travel,Bus Bookings",
34728,105091,Upto Rs.800 eCashback on Domestic Flights for ICICI Bank Card users (Min. Booking of Rs.4000),,,,,,,,Online,,,,3,31-03-2016,01-10-2016,Code,Coupon,Y,01-04-2016,"Travel,Domestic Flights",ICICI
34729,105092,"Rs.1500 Discount on International Flights for ICICI Bank Credit Card users (Min. Booking of Rs.40,000)",,,,,,,,Online,,,,4,31-03-2016,01-10-2016,Code,Coupon,Y,01-04-2016,"Travel,International Flights",ICICI
34730,105094,15% Discount on Bus Bookings for ICICI Bank Credit Card users (Max. Discount of Rs.200),,,,,,,,Online,,,,3,31-03-2016,01-10-2016,Code,Coupon,Y,01-04-2016,"Travel,Bus Bookings",ICICI
34731,105093,25% Discount on Domestic Hotels for ICICI Bank Card users (Min. Booking of Rs.4000. Max. Discount id Rs.1500),,,,,,,,Online,,,,4,31-03-2016,01-10-2016,Code,Coupon,Y,01-04-2016,"Travel,Hotels",ICICI
34732,NULL,"Get 5% OFF on Modular Kitchen order of Rs. 40,000/-",NULL,All types of Credit & Debit Cards will be accepted.,,,,,Get best prices and heavy discounts on Modular Kitchen.,Offline,,,,2,30-03-2016,31-03-2017,,Discount,Y,01-04-2016,NULL,NULL
34733,105292,15% Off on Sugar Free Gold Tablet,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1452834034/bwltdga01i94uqfdpqgn.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34734,105294,15% Off on Patanjali Saundraya Face Wash (pack of 3),,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1450267552/nw7ewtwlkvhhgiiii0p1.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34735,105293,15% Off on Patanjali Kesh Kanti Natural Hair Cleanser (Pack of 2),,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1450266106/baug6s6naxnmcncfkdck.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34736,105291,15% Off on Accu Chek Performa Glucometer Kit,,,,,,,,Online,https://hkp-prod.s3.amazonaws.com/otc/otc223938.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34737,105289,15% Off on One Touch Ultra Strip,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1447854591/llsrjgz6bjvncmxffvjy.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34738,105290,15% Off on Accu Chek Active Kit,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1448279350/pjdc4a0y0rvgllslqpk4.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34739,105286,15% Off on mammy poko pants,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1448445332/hvj0nbujlgmkq0jpelul.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34740,105281,15% Off on johnson baby cream,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1452853641/h6a22njfipoztdvc0f5z.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34741,105288,15% Off Accu Chek Active 50 Strip,,,,,,,,Online,https://hkp-prod.s3.amazonaws.com/otc/otc139543.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34742,105285,15% Off on pampers baby dry,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1448353424/cytykce2gg2skmjmpl9o.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34743,105283,15% Off on horlicks chocko flavor,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1446207288/jttyan2ymeknouxjp0lo.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34744,105284,15% Off on huggies dry,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1448371001/diuljhjl7rpviotw56q3.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34745,105282,15% Off on complan - ,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1453098022/k0db3cjjoycrxqbkgffs.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34746,105280,15% Off on moov - ,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1449039119/ixvmngajvpxjdrd0saah.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34747,105279,15% Off on volini spray,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1450778013/fnlf6zoqr5sowfbcg0kt.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34748,105278,15% Off on vicks vaporub,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1452854467/oj9oymav4kd1p7d6b6fq.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34749,105277,15% Off on honeitus syrup,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1452856486/brtfirw94qkhsbqspehe.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34750,105276,15% Off on dettol liquid,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1452504211/t3pfqsf4rsohzekko6qu.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34751,105275,15% Off on baind aid strips,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1453976945/xorjclk4dzcugjloowpg.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
34752,105295,15% Off on Dabur Chyawanprash,,,,,,,,Online,http://res.cloudinary.com/du8msdgbj/image/upload/v1446011834/pkrbockxxar68uvauxcy.jpg,,,3,31-03-2016,01-05-2016,Code,Coupon,Y,04-04-2016,"Health and Beauty,Fitness",
